         2037790 function calls (2019726 primitive calls) in 2.383 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1137(CommaSeparatedIntegerField)
       32    0.000    0.000    0.000    0.000 __init__.py:1139(setLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:114(NamespaceErr)
        1    0.000    0.000    0.000    0.000 __init__.py:114(_import_OrderedDict)
       15    0.000    0.000    0.000    0.000 __init__.py:1145(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:1151(DateTimeCheckMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:1152(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1156(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1157(info)
        4    0.000    0.000    0.001    0.000 __init__.py:1169(warning)
        1    0.000    0.000    0.000    0.000 __init__.py:117(InvalidAccessErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1185(DateField)
       72    0.000    0.000    0.003    0.000 __init__.py:1195(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:120(ValidationErr)
       10    0.000    0.000    0.000    0.000 __init__.py:122(create_shared_task)
        1    0.000    0.000    0.000    0.000 __init__.py:123(DefaultCacheProxy)
        1    0.000    0.000    0.000    0.000 __init__.py:123(ManagementUtility)
        1    0.000    0.000    0.000    0.000 __init__.py:123(UserDataHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:1233(findCaller)
       10    0.000    0.000    0.000    0.000 __init__.py:124(__inner)
        4    0.000    0.000    0.000    0.000 __init__.py:1254(makeRecord)
        2    0.000    0.000    0.000    0.000 __init__.py:126(timezone)
        4    0.000    0.000    0.001    0.000 __init__.py:1267(_log)
        1    0.000    0.000    0.000    0.000 __init__.py:128(EqualityDict)
        1    0.000    0.000    0.000    0.000 __init__.py:128(ProtocolVersion)
        4    0.000    0.000    0.000    0.000 __init__.py:1288(handle)
       27    0.000    0.000    0.000    0.000 __init__.py:1298(addHandler)
       90    0.001    0.000    0.005    0.000 __init__.py:1298(contribute_to_class)
        1    0.000    0.000    0.000    0.000 __init__.py:130(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1309(removeHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:1320(callHandlers)
        2    0.000    0.000    0.000    0.000 __init__.py:1329(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:1335(DateTimeField)
        1    0.000    0.000    0.000    0.000 __init__.py:134(_deprecated_property)
       20    0.000    0.000    0.000    0.000 __init__.py:1346(getEffectiveLevel)
       20    0.000    0.000    0.000    0.000 __init__.py:1360(isEnabledFor)
     1187    0.030    0.000    0.040    0.000 __init__.py:137(__init__)
       14    0.000    0.000    0.004    0.000 __init__.py:137(ungettext_lazy)
      437    0.001    0.000    0.004    0.000 __init__.py:1373(safe_name)
      412    0.001    0.000    0.021    0.000 __init__.py:1381(safe_version)
        1    0.000    0.000    0.000    0.000 __init__.py:1387(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1393(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1393(safe_extra)
        2    0.009    0.004    0.010    0.005 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:14(get_list)
       18    0.000    0.000    0.000    0.000 __init__.py:14(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:1401(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:141(UserSettingsHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1439(NullProvider)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
       41    0.000    0.000    0.001    0.000 __init__.py:144(signature)
        1    0.000    0.000    0.000    0.000 __init__.py:145(get_user_model)
      392    0.001    0.000    0.007    0.000 __init__.py:1462(has_metadata)
      125    0.000    0.000    0.005    0.000 __init__.py:1466(get_metadata)
      125    0.000    0.000    0.005    0.000 __init__.py:1476(get_metadata_lines)
        4    0.000    0.000    0.000    0.000 __init__.py:148(getLevelName)
        2    0.000    0.000    0.000    0.000 __init__.py:1489(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:1495(DecimalField)
        5    0.006    0.001    0.154    0.031 __init__.py:15(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:15(get_comment_app)
      517    0.001    0.000    0.002    0.000 __init__.py:1528(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:153(override)
        1    0.000    0.000    0.000    0.000 __init__.py:1543(EggProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:156(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1564(DefaultProvider)
      392    0.001    0.000    0.004    0.000 __init__.py:1567(_has)
       79    0.000    0.000    0.005    0.000 __init__.py:1567(getLogger)
      125    0.001    0.000    0.004    0.000 __init__.py:1579(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1583(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1592(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1600(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1606(ZipManifests)
        1    0.000    0.000    0.001    0.001 __init__.py:1633(MemoizedZipManifests)
       14    0.000    0.000    0.000    0.000 __init__.py:164(iteritems)
        1    0.000    0.000    0.000    0.000 __init__.py:1643(DurationField)
        1    0.000    0.000    0.000    0.000 __init__.py:165(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1653(ContextualZipFile)
